month,is_monsoon,rainfall_7day_mm,river_level_m,temperature_c,soil_moisture_pct,flood_risk_score,drought_risk_score
7,1,208.0,6.09,31.4,54.5,100.0,14.6
5,0,93.0,4.1,30.2,50.0,74.8,43.1
4,0,145.2,3.83,28.2,48.2,79.9,5.5
10,0,102.0,3.59,26.2,38.4,65.2,29.8
6,1,58.3,3.35,30.0,34.4,55.4,56.3
10,0,84.7,2.87,28.4,41.3,66.1,29.0
12,0,27.6,2.94,22.1,30.1,31.3,43.9
4,0,109.7,3.76,29.5,44.9,66.7,37.2
3,0,55.9,2.28,26.3,43.4,29.9,24.8
12,0,27.8,1.37,20.4,38.5,29.9,31.7
8,1,251.4,6.61,32.5,57.8,100.0,5.5
4,0,154.9,3.85,26.0,49.8,83.7,19.8
8,1,122.2,5.21,28.2,37.5,89.7,39.9
7,1,140.9,6.11,29.0,47.3,100.0,29.9
11,0,11.6,1.4,19.4,37.8,23.4,32.3
4,0,53.8,3.52,28.7,30.7,61.6,53.0
12,0,5.2,1.17,23.1,42.0,11.6,28.6
12,0,0.0,1.36,16.6,40.7,2.1,25.0
3,0,55.7,1.97,25.5,29.0,28.9,38.3
2,0,19.1,2.48,19.1,28.7,35.9,44.5
7,1,142.0,6.8,33.0,40.0,100.0,45.9
1,0,36.3,1.17,18.7,48.4,24.1,24.4
4,0,70.4,2.7,25.9,44.3,58.0,46.4
6,1,279.4,9.05,27.5,78.1,100.0,0.0
12,0,17.9,0.99,21.2,35.8,15.4,31.7
12,0,24.1,2.32,19.6,36.9,34.0,28.0
2,0,18.1,2.59,18.4,31.8,46.7,19.8
11,0,30.1,2.15,19.4,40.8,49.9,14.5
2,0,15.6,2.14,22.8,33.1,20.6,46.8
9,1,218.2,8.12,28.5,58.8,100.0,0.0
11,0,19.0,3.05,17.9,46.6,60.0,12.5
11,0,11.8,1.7,23.1,32.6,12.9,42.7
3,0,83.4,2.85,27.2,47.4,51.8,28.0
11,0,39.6,1.74,21.7,30.7,20.6,44.6
2,0,12.0,2.33,21.0,48.4,34.8,28.2
7,1,212.3,6.12,30.9,55.2,100.0,8.3
6,1,276.8,8.09,30.1,71.0,100.0,0.1
4,0,107.6,3.71,29.1,47.2,82.5,37.8
1,0,15.1,1.5,22.9,31.5,2.1,32.0
10,0,0.0,1.67,29.7,30.3,9.8,63.4
5,0,87.1,4.78,24.0,48.2,97.3,17.6
8,1,9.1,2.81,34.3,20.4,41.5,71.0
5,0,118.5,3.61,26.1,43.4,66.2,41.4
5,0,75.6,3.62,25.1,41.5,72.1,33.1
11,0,26.0,2.16,19.6,37.7,43.1,28.3
2,0,5.1,2.47,22.1,40.1,34.8,37.6
9,1,60.5,4.01,32.4,36.7,62.9,60.6
9,1,200.1,6.55,30.4,55.4,100.0,9.6
5,0,68.9,1.81,29.1,40.1,47.3,38.6
4,0,53.8,1.6,27.3,26.0,16.8,56.4
1,0,15.9,0.72,18.6,34.5,4.4,19.4
12,0,45.4,2.64,18.2,43.7,54.3,27.8
12,0,24.2,1.17,21.0,42.4,16.4,17.3
3,0,104.6,4.35,26.8,45.3,72.2,26.8
1,0,24.3,2.0,16.6,47.7,35.4,3.8
2,0,31.3,1.98,22.1,41.3,23.1,23.8
1,0,12.9,1.25,18.8,34.5,3.0,42.9
10,0,2.2,1.92,31.0,24.8,7.2,76.0
11,0,12.9,1.28,16.5,40.8,24.7,32.2
2,0,23.9,1.39,19.5,35.7,11.0,20.0
9,1,105.3,5.52,29.3,50.1,100.0,22.3
3,0,64.2,3.0,24.6,34.4,57.4,40.2
5,0,47.2,2.3,25.8,38.0,39.8,45.9
8,1,295.7,9.0,35.4,69.7,100.0,0.0
9,1,237.7,7.46,31.4,59.0,100.0,4.6
11,0,22.2,2.17,18.0,36.2,32.8,19.1
1,0,21.8,1.45,15.4,40.6,13.6,32.7
3,0,68.8,4.12,22.7,46.2,69.8,20.7
4,0,76.5,2.68,25.7,38.5,49.2,35.5
4,0,30.9,3.05,25.4,29.0,46.1,48.9
12,0,0.0,1.39,19.4,40.2,18.4,40.7
10,0,75.0,3.48,21.3,46.2,75.0,12.9
4,0,80.7,3.55,26.8,45.7,71.0,41.3
12,0,28.3,2.75,22.6,40.0,37.6,24.4
6,1,301.0,8.22,35.1,78.0,100.0,3.9
7,1,300.9,9.36,26.3,79.7,100.0,0.0
6,1,103.2,5.87,29.0,38.7,100.0,37.6
2,0,11.1,1.57,17.9,39.7,14.1,40.0
12,0,20.3,1.93,20.4,34.0,28.3,40.8
1,0,42.9,2.04,17.0,40.6,34.4,23.0
3,0,118.8,3.67,31.2,35.8,88.8,34.6
3,0,106.9,4.67,27.1,42.9,95.6,24.9
4,0,57.2,2.04,26.7,40.0,51.1,50.1
2,0,5.3,1.04,24.0,31.3,13.1,51.1
1,0,23.7,2.94,20.0,32.1,53.4,42.2
9,1,95.2,4.98,32.0,31.1,89.7,52.2
12,0,12.4,3.02,18.1,47.9,39.7,19.4
2,0,13.7,1.5,16.6,40.4,15.8,29.4
4,0,122.6,4.03,25.5,43.9,82.9,26.2
7,1,152.7,5.36,36.5,46.0,100.0,40.9
12,0,0.0,1.59,21.6,43.7,11.5,22.8
9,1,218.8,6.01,31.7,60.6,100.0,19.3
10,0,46.9,2.85,24.6,23.5,36.6,51.3
7,1,183.3,6.56,33.3,64.1,100.0,13.2
6,1,173.3,6.13,27.6,44.7,100.0,30.1
3,0,61.0,2.49,23.1,39.6,42.5,33.0
11,0,23.7,1.44,18.6,33.0,10.0,33.6
10,0,19.4,2.32,31.9,23.7,29.0,74.9
1,0,9.3,0.98,24.7,33.0,12.2,52.5
9,1,232.7,7.66,29.9,50.6,100.0,14.9
2,0,8.2,2.91,18.3,36.1,37.4,29.5
9,1,56.1,4.71,26.9,42.6,74.0,54.0
10,0,92.1,2.44,27.2,37.8,43.4,30.9
2,0,27.4,1.73,20.4,30.8,28.4,42.4
6,1,176.5,6.48,33.0,49.4,100.0,28.0
2,0,0.0,1.46,22.3,30.5,16.7,48.5
7,1,234.4,6.55,30.5,57.8,100.0,18.6
12,0,0.0,1.73,21.4,26.9,31.7,42.9
1,0,18.4,1.86,18.2,40.8,22.8,30.9
5,0,40.7,3.46,28.3,36.4,69.8,50.1
12,0,2.2,1.39,18.7,30.0,10.9,31.9
4,0,55.4,3.31,28.1,31.2,64.3,59.1
2,0,13.0,1.0,20.9,35.9,14.7,41.9
6,1,130.4,4.69,31.2,39.8,79.3,34.9
7,1,225.3,7.64,33.0,58.3,100.0,24.0
8,1,145.7,6.26,27.1,57.5,100.0,8.0
4,0,102.3,2.97,24.3,45.6,46.9,23.3
12,0,18.1,1.88,19.3,31.2,31.5,31.7
7,1,126.3,4.4,27.4,49.0,100.0,30.2
4,0,41.4,2.22,26.0,34.5,33.1,40.1
12,0,0.0,2.0,19.1,34.0,31.4,41.4
12,0,18.2,1.6,23.3,36.5,32.7,44.9
6,1,152.7,5.6,31.4,51.3,100.0,24.4
1,0,0.0,0.82,22.6,32.1,2.6,59.0
8,1,138.7,5.09,31.8,45.1,100.0,28.7
7,1,110.6,5.97,29.7,53.2,100.0,17.4
2,0,32.3,2.19,20.3,44.6,42.7,32.7
8,1,48.9,3.08,32.8,35.2,55.7,40.2
11,0,0.0,1.31,23.0,32.3,15.1,57.1
2,0,27.2,1.09,19.7,33.3,11.8,33.9
9,1,284.5,7.78,26.9,76.8,100.0,0.0
2,0,6.8,2.45,15.7,39.2,42.2,15.7
9,1,131.3,5.24,30.2,42.7,95.6,21.0
6,1,227.5,8.38,25.2,62.8,100.0,0.0
1,0,0.0,1.44,24.5,25.6,18.4,42.6
12,0,0.0,1.48,21.5,38.1,7.0,41.8
2,0,11.9,2.12,18.4,40.5,25.4,25.1
8,1,299.3,7.08,28.2,73.2,100.0,0.0
3,0,55.6,2.74,29.6,34.5,46.1,53.9
12,0,16.1,1.79,17.2,35.2,13.9,33.0
9,1,267.3,8.94,28.5,56.7,100.0,9.2
10,0,139.5,4.87,25.1,43.8,94.6,15.7
6,1,135.6,4.73,31.3,41.6,81.8,36.3
6,1,178.7,7.02,32.6,46.3,100.0,24.5
8,1,320.3,8.95,34.0,72.3,100.0,0.0
10,0,19.8,1.35,29.6,33.3,18.4,49.8
11,0,26.3,2.14,20.0,37.3,25.6,27.8
1,0,3.8,1.45,22.6,39.6,22.3,35.2
8,1,187.9,7.38,29.3,50.8,100.0,20.3
2,0,12.3,1.95,15.4,38.8,6.1,22.2
4,0,38.4,2.39,25.3,35.2,41.0,46.5
10,0,37.6,2.79,25.0,41.1,44.2,36.9
4,0,79.1,3.74,25.4,42.1,81.7,27.2
10,0,102.9,4.03,24.6,46.4,83.6,24.9
6,1,170.0,6.95,29.8,43.3,100.0,19.7
3,0,72.3,3.31,28.6,33.5,53.8,50.3
5,0,88.8,3.38,31.3,43.8,59.6,39.8
7,1,105.2,5.55,26.7,34.1,100.0,37.9
10,0,94.4,3.33,23.8,51.9,65.1,20.8
8,1,243.1,7.58,29.0,65.7,100.0,11.4
12,0,43.6,3.41,21.9,35.3,55.8,37.2
11,0,10.9,2.69,19.5,31.9,28.3,36.7
10,0,54.9,2.59,25.2,47.6,40.7,25.6
8,1,239.2,7.21,32.8,66.7,100.0,13.2
4,0,97.0,4.32,29.4,40.4,81.9,36.8
